Variant,Metric,N,Pearson_r,Spearman_r
A,compile,1766,0.7679393236270378,0.5812184612582664
A,size,1766,0.034268813846482754,0.09808204938145805
A,alloca,1766,-0.09794734066093969,-0.10089247646281453
A,load,1766,-0.09794734066093842,-0.10089247646281453
A,store,1766,-0.09794734066093747,-0.10089247646281453
A,gep,1766,,
A,phi,1766,,
A,bb,1766,,
B,compile,1766,0.32560528654185894,0.335189561965985
B,size,1766,-0.17084027481043249,-0.3214278926233609
B,alloca,1766,0.3336946859582773,0.2692948242149687
B,load,1766,0.33369468595827273,0.2692948242149687
B,store,1766,0.33369468595826923,0.2692948242149687
B,gep,1766,,
B,phi,1766,,
B,bb,1766,,
C,compile,1766,0.768607121687615,0.5704290401508562
C,size,1766,0.03703020149109872,0.0655174725229813
C,alloca,1766,-0.09755626607192225,-0.08255357919800393
C,load,1766,-0.09755626607192092,-0.08255357919800393
C,store,1766,-0.0975562660719201,-0.08255357919800393
C,gep,1766,,
C,phi,1766,,
C,bb,1766,,
