Variant,ConfigName,n,runtime_med,compile_med,size_med,alloca_med,load_med,store_med,gep_med,phi_med,bb_med,baseline_config,runtime_med_delta,runtime_med_delta_pct,compile_med_delta,compile_med_delta_pct,size_med_delta,size_med_delta_pct,alloca_med_delta,alloca_med_delta_pct,load_med_delta,load_med_delta_pct,store_med_delta,store_med_delta_pct,gep_med_delta,gep_med_delta_pct,phi_med_delta,phi_med_delta_pct,bb_med_delta,bb_med_delta_pct
A,EXP_DBL_1445,3,15.845809,2.160683,449968,17,65,31,54,71,13,EXP_000_DEFAULT,11.313797,249.64181471717194,0.6371930000000001,41.824560712574424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1636,3,15.342927,1.797275,449968,17,65,31,54,71,13,EXP_000_DEFAULT,10.810915,238.54559520142487,0.27378499999999995,17.970908899959955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1441,3,13.968139,2.146235,449968,17,65,31,54,71,13,EXP_000_DEFAULT,9.436127,208.21054754488733,0.6227449999999999,40.876211855673475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1620,3,13.368562,1.670652,449968,17,65,31,54,71,13,EXP_000_DEFAULT,8.83655,194.9807282063684,0.14716200000000002,9.659531733060277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1438,3,12.794067,1.746486,449968,17,65,31,54,71,13,EXP_000_DEFAULT,8.262055,182.30434959130736,0.22299599999999997,14.637181734044855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1414,3,12.721285,1.795120,449968,17,65,31,54,71,13,EXP_000_DEFAULT,8.189273,180.69839620901269,0.27163000000000004,17.829457364341085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1439,3,12.659344,1.870867,449968,17,65,31,54,71,13,EXP_000_DEFAULT,8.127332000000001,179.3316522551132,0.34737700000000005,22.80139679289001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1484,3,12.591207,1.897408,449968,17,65,31,54,71,13,EXP_000_DEFAULT,8.059195,177.82819198183944,0.373918,24.543515218347345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1639,3,12.397651,1.673943,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.865639,173.55732950398192,0.15045299999999995,9.875548904160837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1635,3,12.391400,1.745300,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.859388000000001,173.41939959558803,0.22181000000000006,14.55933416038176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1631,3,12.367190,1.794094,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.835178000000001,172.88519977440487,0.27060400000000007,17.762111992858507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1404,3,12.365342,1.842230,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.83333,172.8444231833455,0.31874,20.921699518867864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1483,3,12.355237,1.737056,449984,17,65,31,54,71,13,EXP_000_DEFAULT,7.823225000000001,172.6214537825584,0.21356599999999992,14.018208193030471,16.0,0.0035558084130427052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1447,3,12.204785,1.898412,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.672772999999999,169.3016920520069,0.374922,24.609416537030107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1453,3,12.198427,1.719106,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.666415000000001,169.16140116133852,0.195616,12.83999238590342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1487,3,12.184042,1.612428,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.65203,168.8439924695698,0.08893799999999996,5.837780359569145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1415,3,12.087108,2.003422,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.555096000000001,166.70511905087633,0.479932,31.502143105632463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1482,3,12.083992,1.961587,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.55198,166.63636371660093,0.43809699999999996,28.75614542924469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1494,3,12.054828,2.419660,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.522816000000001,165.99285262263209,0.8961699999999999,58.82349080072727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A,EXP_DBL_1633,3,12.021902,1.613347,449968,17,65,31,54,71,13,EXP_000_DEFAULT,7.489890000000001,165.26633203972102,0.08985700000000008,5.898102383343512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
